t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,cmd
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,up
0.002,0.0,0.0,1.0000020106737777,0.0,0.0,0.002010673777777779,1.0,0.0,0.0,0.0,up
0.004,0.0,0.0,1.0000080422502338,0.0,0.0,0.004020902678256196,1.0,0.0,0.0,0.0,up
0.006,0.0,0.0,1.0000180938420007,0.0,0.0,0.006030689088769013,1.0,0.0,0.0,0.0,up
0.008,0.0,0.0,1.000032164566476,0.0,0.0,0.008040035386595154,1.0,0.0,0.0,0.0,up
0.01,0.0,0.0,1.0000502535458016,0.0,0.0,0.010048943938997416,1.0,0.0,0.0,0.0,up
0.012,0.0,0.0,1.0000723599068437,0.0,0.0,0.012057417103261005,1.0,0.0,0.0,0.0,up
0.014,0.0,0.0,1.0000984827811736,0.0,0.0,0.01406545722673196,1.0,0.0,0.0,0.0,up
0.016,0.0,0.0,1.0001286213050473,0.0,0.0,0.016073066646855424,1.0,0.0,0.0,0.0,up
0.018000000000000002,0.0,0.0,1.0001627746193853,0.0,0.0,0.018080247691213767,1.0,0.0,0.0,0.0,up
0.02,0.0,0.0,1.0002009418697542,0.0,0.0,0.020087002677564574,1.0,0.0,0.0,0.0,up
0.022,0.0,0.0,1.0002431222063457,0.0,0.0,0.02209333391387848,1.0,0.0,0.0,0.0,up
0.024,0.0,0.0,1.000289314783958,0.0,0.0,0.0240992436983769,1.0,0.0,0.0,0.0,up
0.026000000000000002,0.0,0.0,1.000339518761976,0.0,0.0,0.026104734319569587,1.0,0.0,0.0,0.0,up
0.028,0.0,0.0,1.0003937333043518,0.0,0.0,0.028109808056292054,1.0,0.0,0.0,0.0,up
0.03,0.0,0.0,1.0004519575795858,0.0,0.0,0.030114467177742875,1.0,0.0,0.0,0.0,up
0.032,0.0,0.0,1.0005141907607071,0.0,0.0,0.03211871394352084,1.0,0.0,0.0,0.0,up
0.034,0.0,0.0,1.0005804320252543,0.0,0.0,0.034122550603661955,1.0,0.0,0.0,0.0,up
0.036000000000000004,0.0,0.0,1.0006506805552566,0.0,0.0,0.036125979398676344,1.0,0.0,0.0,0.0,up
0.038,0.0,0.0,1.000724935537215,0.0,0.0,0.03812900255958498,1.0,0.0,0.0,0.0,up
